queue_length,avg_consult_time,doctor_id,department_id,day_of_week,hour_of_day,priority,no_show_rate,waiting_time
6,11.695285267964632,4,1,3,16,2,0.12138176488405891,78.09330464832023
19,10.003543242083007,9,3,6,9,2,0.13364330492500373,194.95874167414243
14,13.707125100750119,9,4,5,12,3,0.2621018181539294,196.4675845602493
10,6.331510911616527,5,2,6,13,0,0.1385503303681825,73.61069839673006
7,19.4249860393222,10,1,3,10,0,0.0063576738683558285,148.1775699982726
6,14.524400683865498,4,4,6,9,0,0.06824726726071871,97.39531649027691
18,16.322567299112716,7,3,5,16,3,0.14268618429247767,300.1986375844339
10,7.5571690726087635,6,3,4,14,2,0.12731888782456072,81.02035296401775
10,11.142167795078059,4,4,1,13,1,0.2581110411841442,121.5292735815021
3,11.340336700942842,10,3,5,17,0,0.16264125279185,42.61979074767247
7,17.327096658516304,2,2,3,10,3,0.2068907225745363,125.75516866675302
2,5.018550196391142,1,2,1,16,3,0.14079698911304103,19.72346128249308
1,9.512796625298826,4,2,1,17,1,0.13189672021774948,21.141913444396934
11,19.718545615164558,4,3,3,9,2,0.13388600054230537,224.8166563742622
5,12.123298152593279,1,2,0,15,0,0.12327647090815165,70.65813561849089
1,10.737894203660124,6,1,6,16,0,0.16157501575626101,27.814976994237778
0,6.797435030264696,4,2,5,11,3,0.0751330205260811,6.694570877083364
11,19.612469429420234,1,2,3,12,2,0.26731655815254624,223.689095447979
11,5.300395338887367,1,3,4,11,0,0.09992566442816188,67.60755981798052
16,16.057703375108645,1,2,2,15,1,0.04425715025320404,265.8942097947492
9,16.528997071827625,8,4,3,17,2,0.028965143579323536,158.1191587896579
15,8.654850740958,10,1,6,11,2,0.004026874536038283,138.72831757302112
14,15.07337665419556,8,3,6,14,3,0.12685682357005842,214.3962314969945
14,6.393937165690849,2,1,1,16,3,0.056283296563627405,96.53594133955528
18,8.855708996481198,7,4,1,14,0,0.006494370776174374,172.87120247998914
11,16.818529824383972,8,3,3,10,3,0.1560058638868571,190.8625257027588
19,17.970292880503102,8,3,2,15,2,0.20399356459522844,351.39803773168234
2,14.12729618989687,10,2,3,10,0,0.025725315273331304,35.419405328056314
4,12.602576477307238,7,1,2,10,0,0.13827623187589788,62.67386167827086
18,7.389560309284704,5,4,2,10,2,0.223088603580224,139.14647287931606
6,5.946635496187253,1,4,6,9,0,0.29574204630252754,43.00862266517762
8,6.764735427103379,9,3,6,9,1,0.20015710339276827,61.56954700214626
6,8.410359501441482,7,2,6,15,1,0.07345186524285617,57.04482672202431
17,10.125117528453814,2,3,4,13,0,0.21496609193369987,184.78359402973535
3,10.713642882664807,6,3,6,11,3,0.17937882804594898,36.38550971491832
13,10.194826528835053,2,3,5,9,1,0.06353978657446431,137.49251356236402
17,8.585829982958984,1,3,1,14,0,0.2553332477542664,157.37895649761762
8,12.645863701275472,7,4,1,9,1,0.12822132816828025,107.25197917211682
1,17.37929162349345,2,4,2,17,3,0.28859329642023773,23.592123985595034
19,9.195553077072187,2,3,1,10,2,0.21687030223433337,176.1934426322519
14,19.135805286533497,5,3,0,9,0,0.19336894638954663,274.0569471713996
6,18.100049925857718,5,2,2,15,0,0.21850585124296856,120.64090157243214
11,7.426463170281644,7,3,1,14,0,0.14342910564546646,92.88759368307537
7,16.794139351356417,1,4,0,14,0,0.1515679433405022,131.50693178312238
14,13.6188107347665,8,1,4,13,0,0.25536221563342315,200.89978432939006
2,13.498630432571279,3,4,1,12,0,0.20427856099305083,36.94329822584002
13,10.865641445872615,4,2,0,12,3,0.2691729975574925,145.2928589646907
16,12.517294987730146,9,4,3,11,2,0.26724802607228054,206.38266035208414
3,10.957681661438166,4,1,5,16,3,0.29294701021327474,40.05597311836243
17,13.095989281399142,10,3,3,15,3,0.21006439765360024,228.3191625621229
7,14.419250791589537,5,1,0,17,2,0.1506905152985226,111.57719851604591
3,15.114557096135727,7,3,2,9,3,0.04989351006272471,53.44411323566436
1,12.987217888391392,4,3,6,15,1,0.21161416789422519,21.836330098702923
5,15.821331009930976,1,4,6,12,3,0.08747331502797921,84.89031507000047
9,7.119170739132587,9,4,6,15,0,0.08488427041119936,76.63158914475592
3,8.179737363533578,4,4,2,9,1,0.07148633293442043,34.13328115549424
17,17.28102506111405,9,2,1,13,1,0.26253661720543503,303.68342584475045
11,9.837919667696227,6,4,6,11,2,0.2603893340046475,113.26421396390778
1,5.343407374641804,1,2,3,13,3,0.18929113346101745,8.513299879938454
9,7.306867245020467,3,4,2,12,3,0.14189429441122076,71.98278441336859
3,8.35421651744467,2,3,2,10,1,0.2016343380296397,30.895045561793573
13,19.359843318418807,9,2,6,12,3,0.1821688350895172,259.0454441117807
15,13.595621433962739,1,1,3,11,3,0.1247202744970162,209.54070688488946
